MMSI;Name;Call;Type

563273500;NORSE HOKKAIDO;9VEF7;Cargo
376577000;376577000;UNK;N/A
760003430;760003430;UNK;N/A
352001833;352001833;UNK;N/A
538005219;538005219;UNK;N/A
538011728;538011728;UNK;N/A
470389000;470389000;UNK;N/A
470029000;470029000;UNK;N/A
572375210;572375210;UNK;N/A
538003326;538003326;UNK;N/A
273334620;273334620;UNK;N/A
466326000;466326000;UNK;N/A
271043480;271043480;UNK;N/A
470426000;470426000;UNK;N/A
511101220;511101220;UNK;N/A
636019263;636019263;UNK;N/A
273314050;273314050;UNK;N/A
255915592;MARTTA;CQ2050;Cargo
351066000;351066000;UNK;N/A
256306165;256306165;UNK;N/A
677081900;677081900;UNK;N/A
228344800;RMT PENFRET;FLTF;Tug
250013332;250013332;UNK;N/A
255805035;255805035;UNK;N/A
352005707;352005707;UNK;N/A
352002728;352002728;UNK;N/A
538090702;538090702;UNK;N/A
268259701;AYAT;T7CG5;Cargo
470891987;470891987;UNK;N/A
413021360;413021360;UNK;N/A
207224000;207224000;UNK;N/A
375797000;AL FATH;J8B6817;Tug
352004192;352004192;UNK;N/A
259271000;259271000;UNK;N/A
305011400;305011400;UNK;N/A
667002240;BULLAR;9LS1943;Tanker
352005703;352005703;UNK;N/A
470146000;470146000;UNK;N/A
470458000;470458000;UNK;N/A
563293300;ZIM OPAL;9V6896;Cargo
352004037;352004037;UNK;N/A
563291800;ZIM DIAMOND;9V7314;Cargo
636024080;636024080;UNK;N/A
563266200;563266200;UNK;N/A
470419000;470419000;UNK;N/A
511101843;511101843;UNK;N/A
311000675;311000675;UNK;N/A
352005861;ALPINE SPIRIT;3E9041;Tanker
470598000;470598000;UNK;N/A
414344000;414344000;UNK;N/A
240950000;240950000;UNK;N/A
235103205;235103205;UNK;N/A
352005848;352005848;UNK;N/A
232061419;NORTH SEA;MSEA8;Fishing
413452950;413452950;UNK;N/A
341900000;BIEN;V4ZZ4;Cargo
413521490;413521490;UNK;N/A
413701040;413701040;UNK;N/A
228224000;F V LE RESSAC;FVPN;Fishing
245484000;VB ROTTERDAM;PDLN;Tug
377231000;377231000;UNK;N/A
413576650;HUA XIANG6;BPLT3;Cargo
341264001;341264001;UNK;N/A
319311800;KATANA;ZGUF;Sailing
538010169;538010169;UNK;N/A
471085000;471085000;UNK;N/A
613331500;613331500;UNK;N/A
271000833;ASLI ELIF;TCOJ9;Cargo
503701000;KARRIBI;VHEF;Cargo
538011815;EUGENIA B;V7A3517;Cargo
213562050;213562050;UNK;N/A
339000227;339000227;UNK;N/A
470159000;470159000;UNK;N/A
273255860;273255860;UNK;N/A
503004590;503004590;UNK;N/A
629009774;GURU;C5J876;Tanker
249821000;SPRING S;9HA6396;Tanker
314115000;JING HAI;8PPC;Tanker
413608410;413608410;UNK;N/A
244061000;HEIN;PEPN;Dredging
470658000;470658000;UNK;N/A
538011450;538011450;UNK;N/A
414456789;414456789;UNK;N/A
563273100;563273100;UNK;N/A
257912000;257912000;UNK;N/A
201999999;201999999;UNK;N/A
413392090;413392090;UNK;N/A
352006251;352006251;UNK;N/A
258999099;258999099;UNK;N/A
413382720;413382720;UNK;N/A
259308000;259308000;UNK;N/A
304127890;304127890;UNK;N/A
249656000;249656000;UNK;N/A
667002355;667002355;UNK;N/A
414347000;414347000;UNK;N/A
413301510;413301510;UNK;N/A
253209000;253209000;UNK;N/A
375884000;375884000;UNK;N/A
538012025;538012025;UNK;N/A
413702180;413702180;UNK;N/A
563292800;563292800;UNK;N/A
563308100;HANS SCHULTE;9V8266;Cargo
375629000;375629000;UNK;N/A
353181000;353181000;UNK;N/A
636264000;636264000;UNK;N/A
563280100;SEASPAN EMPIRE;9VMT7;Cargo
227320120;227320120;UNK;N/A
636023761;636023761;UNK;N/A
725007500;725007500;UNK;N/A
636024677;636024677;UNK;N/A
258031400;258031400;UNK;N/A
205322000;Z576 MARE NOSTRUM;OPWT;Other
563286900;YM WORLD;9V3784;Cargo
760000110;760000110;UNK;N/A
538011919;538011919;UNK;N/A
205333000;Z548 FLAMINGO;OPVR;Fishing
538003994;538003994;UNK;N/A
538090687;ASPARUKH;V7A3652;Cargo
271053573;271053573;UNK;N/A
636025114;636025114;UNK;N/A
471086000;471086000;UNK;N/A
255815754;255815754;UNK;N/A
219830000;219830000;UNK;N/A
419002055;419002055;UNK;N/A
228463800;228463800;UNK;N/A
563287400;563287400;UNK;N/A
403530000;403530000;UNK;N/A
503556000;503556000;UNK;N/A
372577000;372577000;UNK;N/A
636024199;636024199;UNK;N/A
232055834;232055834;UNK;N/A
414262000;414262000;UNK;N/A
225398000;225398000;UNK;N/A
518100405;518100405;UNK;N/A
636024965;636024965;UNK;N/A
636025467;636025467;UNK;N/A
413276720;413276720;UNK;N/A
273338630;273338630;UNK;N/A
533132621;533132621;UNK;N/A
470641000;470641000;UNK;N/A
273272340;273272340;UNK;N/A
533132095;533132095;UNK;N/A
273255950;273255950;UNK;N/A
574003270;574003270;UNK;N/A
413325060;413325060;UNK;N/A
273440780;273440780;UNK;N/A
538006415;538006415;UNK;N/A
413293670;413293670;UNK;N/A
511101182;511101182;UNK;N/A
273359420;273359420;UNK;N/A
205331000;WINDCAT ROTTERDAM;ORUP;Other
563288900;563288900;UNK;N/A
265724000;SCANDICA;SKFZ;Other
355007700;355007700;UNK;N/A
419001351;419001351;UNK;N/A
636025526;636025526;UNK;N/A
352585000;352585000;UNK;N/A
412439000;412439000;UNK;N/A
249029000;PETANI;9HIO9;Cargo
563241100;563241100;UNK;N/A
245842000;245842000;UNK;N/A
632001142;632001142;UNK;N/A
750822000;SANAR;8RBC6;Tanker
246710000;246710000;UNK;N/A
273254440;273254440;UNK;N/A
403108001;403108001;UNK;N/A
232056758;232056758;UNK;N/A
227019400;227019400;UNK;N/A
422005847;422005847;UNK;N/A
471057000;471057000;UNK;N/A
225002260;225002260;UNK;N/A
405000338;405000338;UNK;N/A
273290480;273290480;UNK;N/A
477711900;477711900;UNK;N/A
632001147;632001147;UNK;N/A
563020900;563020900;UNK;N/A
255916481;WINDEA CLAUSIUS;CQ2750;Other
212394000;GESA;5BTF3;HSC
259277000;259277000;UNK;N/A
412036030;412036030;UNK;N/A
273271320;273271320;UNK;N/A
563294400;563294400;UNK;N/A
352005587;352005587;UNK;N/A
258342000;258342000;UNK;N/A
310793000;310793000;UNK;N/A
377716000;377716000;UNK;N/A
